player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,competition_id,season_name,season_id,position_group,minutes_full_all,minutes_full_tip,minutes_full_otip,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,explacceltosprint_count_full_all,timetosprint_top3,psv99,psv99_top5,total_distance_full_tip,total_metersperminute_full_tip,running_distance_full_tip,hsr_distance_full_tip,hsr_count_full_tip,sprint_distance_full_tip,sprint_count_full_tip,hi_distance_full_tip,hi_count_full_tip,medaccel_count_full_tip,highaccel_count_full_tip,meddecel_count_full_tip,highdecel_count_full_tip,explacceltohsr_count_full_tip,explacceltosprint_count_full_tip,total_distance_full_otip,total_metersperminute_full_otip,running_distance_full_otip,hsr_distance_full_otip,hsr_count_full_otip,sprint_distance_full_otip,sprint_count_full_otip,hi_distance_full_otip,hi_count_full_otip,medaccel_count_full_otip,highaccel_count_full_otip,meddecel_count_full_otip,highdecel_count_full_otip,explacceltohsr_count_full_otip,explacceltosprint_count_full_otip
Adam Taggart,A. Taggart,211,1993-06-02,Perth Glory Football Club,871,AUS - A-League,61,2024/2025,95,Center Forward,96.78,22.29,32.04,24,0,10515.04,108.64,1413.42,572.67,59.54,184.08,11.0,756.75,70.54,119.38,10.46,99.46,21.67,7.38,0.63,1.25,1.35,28.83,29.98,3087.92,138.53,533.83,288.08,29.71,120.83,6.5,408.92,36.21,43.08,3.42,26.29,5.67,2.5,0.67,4423.04,138.05,755.33,249.38,24.21,48.46,3.0,297.83,27.21,42.38,2.67,38.25,6.96,1.92,0.08
Adama Traoré,A. Traoré,218,1990-02-03,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Full Back,89.05,26.23,19.99,6,0,9173.67,103.02,1088.83,430.67,43.67,141.33,8.67,572.0,52.33,102.17,5.33,84.17,16.17,3.5,0.72,1.0,1.7,30.07,30.24,3411.67,130.05,478.17,157.0,16.17,60.67,2.83,217.67,19.0,35.5,1.83,26.0,4.0,1.0,0.17,2789.33,139.51,480.17,245.67,21.0,69.67,4.0,315.33,25.0,37.83,2.0,25.67,4.5,1.17,0.5
Dino Arslanagić,D. Arslanagić,2759,1993-04-24,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Central Defender,96.46,28.33,26.86,8,0,9563.5,99.14,1041.12,281.25,23.38,38.25,2.5,319.5,25.88,107.25,3.88,86.12,9.62,3.0,0.8,0.38,,25.82,26.48,3248.62,114.68,320.5,57.38,4.62,6.38,0.12,63.75,4.75,28.62,1.0,24.0,1.88,0.38,0.12,3517.12,130.95,559.0,194.12,15.62,29.12,1.25,223.25,16.88,45.12,1.75,30.75,3.5,1.25,0.0
Douglas  Costa de Souza,Douglas Costa,2858,1990-09-14,Sydney Football Club,869,AUS - A-League,61,2024/2025,95,Center Forward,94.25,27.43,24.81,4,0,10521.25,111.64,1425.5,406.75,36.0,71.25,4.25,478.0,40.25,91.5,6.5,74.0,10.5,3.25,0.78,0.5,,26.38,26.38,3782.5,137.92,632.75,186.5,16.75,39.25,1.75,225.75,18.5,41.0,2.75,26.5,3.75,1.5,0.0,3652.5,147.23,662.0,199.25,15.5,28.0,2.0,227.25,17.5,28.75,2.0,25.0,3.0,0.75,0.25
Douglas  Costa de Souza,Douglas Costa,2858,1990-09-14,Sydney Football Club,869,AUS - A-League,61,2024/2025,95,Midfield,67.57,20.63,17.78,1,0,7843.0,116.08,1307.0,318.0,26.0,10.0,2.0,328.0,28.0,67.0,3.0,58.0,7.0,2.0,,0.0,,24.6,24.6,2822.0,136.77,556.0,121.0,9.0,9.0,1.0,130.0,10.0,22.0,1.0,17.0,3.0,1.0,0.0,2840.0,159.7,637.0,169.0,16.0,1.0,0.0,170.0,16.0,26.0,0.0,21.0,2.0,0.0,0.0
Douglas  Costa de Souza,Douglas Costa,2858,1990-09-14,Sydney Football Club,869,AUS - A-League,61,2024/2025,95,Wide Attacker,94.89,26.34,21.5,4,0,10349.25,109.07,1593.75,551.75,46.0,95.75,6.0,647.5,52.0,97.0,7.0,70.75,14.75,3.5,0.69,0.75,1.63,27.12,27.12,3562.75,135.27,617.0,214.75,19.25,49.0,2.5,263.75,21.75,39.0,3.25,22.75,5.0,1.75,0.75,3464.75,161.18,833.75,310.5,23.75,39.25,2.5,349.75,26.25,34.5,2.0,24.5,5.25,0.75,0.0
Hiroki Sakai,H. Sakai,4322,1990-04-12,Auckland FC,4177,AUS - A-League,61,2024/2025,95,Central Defender,99.07,23.47,24.14,3,0,10025.0,101.19,1174.33,412.67,47.0,177.33,11.33,590.0,58.33,108.33,5.33,88.33,10.67,3.67,,2.33,,30.27,30.27,2936.67,125.11,339.33,84.67,10.67,61.33,2.33,146.0,13.0,27.0,1.67,21.33,2.67,0.33,0.33,3478.67,144.08,634.67,264.0,28.67,89.0,5.67,353.0,34.33,44.0,2.0,32.67,3.33,1.33,1.0
Hiroki Sakai,H. Sakai,4322,1990-04-12,Auckland FC,4177,AUS - A-League,61,2024/2025,95,Full Back,97.97,23.72,26.1,21,0,9934.52,101.4,1264.05,557.29,54.43,180.95,11.05,738.24,65.48,106.71,7.05,91.67,16.62,4.38,0.61,1.76,1.36,28.88,30.64,2929.81,123.53,420.57,196.81,20.29,85.14,4.48,281.95,24.76,31.33,2.19,23.14,3.95,1.57,0.57,3701.05,141.78,666.1,304.71,28.14,80.9,5.05,385.62,33.19,44.9,2.38,33.24,5.62,1.33,0.57
Javi López ,Javi López,4792,1986-01-21,Adelaide United Football Club,866,AUS - A-League,61,2024/2025,95,Full Back,94.38,26.79,26.28,6,0,9914.5,105.05,1248.83,469.0,42.83,83.17,5.5,552.17,48.33,103.17,5.67,88.83,16.0,3.83,0.74,1.5,1.49,27.6,27.94,3269.67,122.04,400.67,116.17,11.17,24.67,1.33,140.83,12.5,29.67,1.67,24.5,3.17,0.5,0.0,3736.67,142.2,685.17,320.17,25.83,48.33,2.67,368.5,28.5,45.67,2.5,32.33,6.5,1.67,0.83
Joshua Brillante,J. Brillante,5468,1993-03-25,Western Sydney Wanderers FC,2902,AUS - A-League,61,2024/2025,95,Central Defender,88.38,23.88,25.18,4,0,8934.5,101.1,931.75,247.75,23.25,41.5,2.5,289.25,25.75,99.25,3.75,79.5,7.5,3.0,0.84,0.0,,27.12,27.12,3004.5,125.84,345.0,69.5,6.75,8.0,0.25,77.5,7.0,27.25,0.5,20.5,1.25,0.0,0.0,3324.5,132.06,467.25,148.5,14.25,28.75,0.75,177.25,15.0,39.25,1.5,31.0,2.5,1.25,0.0
