league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected_shooting xG,Expected_shooting npxG,Expected_shooting G-xG,Expected_shooting np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,Performance_misc CrdY,Performance_misc CrdR,Performance_misc 2CrdY,Performance_misc Fls,Performance_misc Fld,Performance_misc Off,Performance_misc Crs,Performance_misc Int,Performance_misc TklW,Performance_misc PKwon,Performance_misc PKcon,Performance_misc OG,Performance_misc Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc
ENG-Premier League,2020,Wolves,Rui Patrício,POR,GK,32.0,1988.0,37,37,3329,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POR,GK,32.0,1988.0,37.0,559,810,69.0,16021,11909,126,127,99.2,191,195,97.9,229,472,0,0.0,0.0,0.0,0,1,0,0,0,passing,POR,GK,32.0,1988.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,POR,GK,32.0,1988.0,870,808,870,0,0,0,870,0,0,0,380,2652,1647,0,0,0,1,0,212,0,possession,POR,GK,32.0,1988.0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,3,defense,POR,GK,32.0,1988.0,1,0,0,0,1,0,0,1,0,0,0,0,29,8,1,misc
ENG-Premier League,2020,Southampton,Ryan Bertrand,ENG,DF,30.0,1989.0,29,29,2598,28.9,0,1,1,0,0,0,5,0,0.4,0.4,1.3,1.6,46,101,120,0.0,0.03,0.03,0.0,0.03,0.01,0.04,0.06,0.01,0.06,standard,ENG,DF,30.0,1989.0,28.9,1186,1569,75.6,17245,6420,675,773,87.3,417,537,77.7,45,141,1,1.3,2.0,-0.3,14,64,22,6,101,passing,ENG,DF,30.0,1989.0,0,8,3,0.28,0.1,0,0,0,0.4,0.4,-0.4,-0.4,shooting,ENG,DF,30.0,1989.0,1803,58,427,894,492,42,1803,9,3,6,827,4066,2364,46,41,6,25,8,1030,120,possession,ENG,DF,30.0,1989.0,60,32,26,27,7,30,48,18,19,1,18,30,90,41,1,defense,ENG,DF,30.0,1989.0,5,0,0,29,35,3,82,30,32,0,1,0,89,37,53,misc
ENG-Premier League,2020,Newcastle Utd,Ryan Fraser,SCO,"FW,MF",26.0,1994.0,18,9,928,10.3,0,2,2,0,0,0,2,1,0.9,0.9,2.0,2.9,21,18,71,0.0,0.19,0.19,0.0,0.19,0.09,0.19,0.28,0.09,0.28,standard,SCO,"FW,MF",26.0,1994.0,10.3,240,372,64.5,3641,1040,132,156,84.6,69,105,65.7,24,72,2,2.0,1.7,0.0,26,8,11,10,18,passing,SCO,"FW,MF",26.0,1994.0,0,13,6,1.26,0.58,0,0,0,0.9,0.9,-0.9,-0.9,shooting,SCO,"FW,MF",26.0,1994.0,431,12,49,138,250,22,431,4,3,1,241,1378,660,21,14,4,12,5,292,71,possession,SCO,"FW,MF",26.0,1994.0,4,1,3,1,0,2,5,3,1,0,1,6,10,7,0,defense,SCO,"FW,MF",26.0,1994.0,2,1,1,5,20,0,103,6,1,1,0,0,30,5,22,misc
ENG-Premier League,2020,West Ham,Ryan Fredericks,ENG,"DF,FW",27.0,1992.0,14,6,569,6.3,1,1,2,1,0,0,2,0,0.3,0.3,1.2,1.5,11,20,39,0.16,0.16,0.32,0.16,0.32,0.04,0.19,0.24,0.04,0.24,standard,ENG,"DF,FW",27.0,1992.0,6.3,205,282,72.7,2766,1080,128,147,87.1,62,87,71.3,7,23,1,1.2,0.6,-0.2,12,17,10,5,20,passing,ENG,"DF,FW",27.0,1992.0,1,4,2,0.63,0.32,0,0,0,0.3,0.3,0.7,0.7,shooting,ENG,"DF,FW",27.0,1992.0,353,33,94,148,113,12,353,7,3,4,154,758,454,11,8,2,3,3,198,39,possession,ENG,"DF,FW",27.0,1992.0,9,5,5,4,0,3,7,4,6,2,4,11,20,20,0,defense,ENG,"DF,FW",27.0,1992.0,2,0,0,11,10,1,23,11,5,0,0,0,30,6,13,misc
ENG-Premier League,2020,Manchester City,Rúben Dias,POR,DF,23.0,1997.0,32,32,2843,31.6,1,0,1,1,0,0,4,0,1.9,1.9,0.1,2.0,38,154,5,0.03,0.0,0.03,0.03,0.03,0.06,0.0,0.06,0.06,0.06,standard,POR,DF,23.0,1997.0,31.6,2531,2722,93.0,48311,16407,792,839,94.4,1499,1554,96.5,210,275,0,0.1,0.4,-0.1,3,161,5,1,154,passing,POR,DF,23.0,1997.0,1,14,6,0.44,0.19,0,0,0,1.9,1.9,-0.9,-0.9,shooting,POR,DF,23.0,1997.0,2954,245,1046,1846,74,29,2954,8,6,2,2087,11819,7375,38,19,0,10,4,2369,5,possession,POR,DF,23.0,1997.0,24,13,13,8,3,4,16,12,31,23,8,35,59,92,0,defense,POR,DF,23.0,1997.0,4,0,0,21,20,1,2,35,13,0,2,1,135,61,39,misc
ENG-Premier League,2020,Southampton,Danny Ings,ENG,FW,28.0,1992.0,29,26,2173,24.1,12,4,16,10,2,2,1,0,8.5,6.9,2.1,9.1,37,52,134,0.5,0.17,0.66,0.41,0.58,0.35,0.09,0.44,0.29,0.38,standard,ENG,FW,28.0,1992.0,24.1,337,527,63.9,4427,1222,195,256,76.2,88,140,62.9,17,40,4,2.1,1.3,1.9,22,29,15,2,52,passing,ENG,FW,28.0,1992.0,12,55,24,2.28,0.99,0,2,2,8.5,6.9,3.5,3.1,shooting,ENG,FW,28.0,1992.0,817,27,78,353,391,116,815,59,30,29,459,2139,827,37,25,13,66,18,574,134,possession,ENG,FW,28.0,1992.0,22,13,3,16,3,12,28,16,39,2,37,3,25,27,1,defense,ENG,FW,28.0,1992.0,1,0,0,19,18,18,19,3,13,0,1,0,73,23,72,misc
ENG-Premier League,2020,West Ham,Aaron Cresswell,ENG,DF,30.0,1989.0,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35,162,96,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,standard,ENG,DF,30.0,1989.0,35.2,1586,2141,74.1,28632,13845,754,847,89.0,606,755,80.3,198,429,8,6.5,5.0,1.5,58,174,26,18,162,passing,ENG,DF,30.0,1989.0,0,19,4,0.54,0.11,11,0,0,1.0,1.0,-1.0,-1.0,shooting,ENG,DF,30.0,1989.0,2366,169,758,1071,555,14,2366,10,4,6,1148,5201,2524,35,31,0,13,9,1349,96,possession,ENG,DF,30.0,1989.0,32,13,15,15,2,18,32,14,29,14,15,32,64,79,2,defense,ENG,DF,30.0,1989.0,3,0,0,13,18,0,207,32,13,0,0,0,195,35,29,misc
ENG-Premier League,2020,West Ham,Łukasz Fabiański,POL,GK,35.0,1985.0,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POL,GK,35.0,1985.0,35.0,622,1015,61.3,21886,17885,77,77,100.0,214,217,98.6,328,713,0,0.0,0.0,0.0,0,14,0,0,0,passing,POL,GK,35.0,1985.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,POL,GK,35.0,1985.0,1077,934,1075,2,0,0,1077,0,0,0,560,3883,2240,0,0,0,1,0,356,0,possession,POL,GK,35.0,1985.0,1,0,1,0,0,1,1,0,1,0,1,1,2,12,3,defense,POL,GK,35.0,1985.0,2,0,0,1,2,0,0,1,0,0,1,0,28,3,0,misc
ENG-Premier League,2020,Sheffield Utd,David McGoldrick,IRL,"FW,MF",32.0,1987.0,35,28,2397,26.6,8,1,9,8,0,0,7,0,6.9,6.9,1.1,8.0,42,94,162,0.3,0.04,0.34,0.3,0.34,0.26,0.04,0.3,0.26,0.3,standard,IRL,"FW,MF",32.0,1987.0,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75.0,37,62,1,1.1,1.5,-0.1,17,49,21,4,94,passing,IRL,"FW,MF",32.0,1987.0,8,71,23,2.67,0.86,1,0,0,6.9,6.9,1.1,1.1,shooting,IRL,"FW,MF",32.0,1987.0,1288,33,110,545,649,89,1288,81,47,34,729,3884,1475,42,36,16,88,44,992,162,possession,IRL,"FW,MF",32.0,1987.0,33,21,8,15,10,13,31,18,19,3,16,2,35,25,0,defense,IRL,"FW,MF",32.0,1987.0,7,0,0,45,33,17,21,2,21,0,0,0,78,88,115,misc
ENG-Premier League,2020,Manchester Utd,David de Gea,ESP,GK,29.0,1990.0,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,GK,29.0,1990.0,25.5,464,592,78.4,10858,7535,143,144,99.3,203,211,96.2,112,228,0,0.0,0.0,0.0,0,4,0,0,0,passing,ESP,GK,29.0,1990.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ESP,GK,29.0,1990.0,639,580,638,1,0,0,639,1,1,0,284,1437,829,0,0,0,0,0,265,0,possession,ESP,GK,29.0,1990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,defense,ESP,GK,29.0,1990.0,0,0,0,0,3,0,0,0,0,0,0,0,32,4,1,misc
