Saison,Équipe,Nom,Valeur marchande (euros)
2020/2021,fc-bayern-munchen,Manuel Neuer,18000000.0
2020/2021,fc-bayern-munchen,Alexander Nübel,6000000.0
2020/2021,fc-bayern-munchen,Sven Ulreich,900000.0
2020/2021,fc-bayern-munchen,Ron-Thorben Hoffmann,600000.0
2020/2021,fc-bayern-munchen,Lukas Schneller,200000.0
2020/2021,fc-bayern-munchen,David Alaba,55000000.0
2020/2021,fc-bayern-munchen,Niklas Süle,35000000.0
2020/2021,fc-bayern-munchen,Benjamin Pavard,35000000.0
2020/2021,fc-bayern-munchen,Tanguy Nianzou,11000000.0
2020/2021,fc-bayern-munchen,Jérôme Boateng,8500000.0
2020/2021,fc-bayern-munchen,Chris Richards,7500000.0
2020/2021,fc-bayern-munchen,Javi Martínez,5000000.0
2020/2021,fc-bayern-munchen,Bright Arrey-Mbi,1000000.0
2020/2021,fc-bayern-munchen,Alphonso Davies,70000000.0
2020/2021,fc-bayern-munchen,Lucas Hernández,45000000.0
2020/2021,fc-bayern-munchen,Rémy Vita,1000000.0
2020/2021,fc-bayern-munchen,Alexander Lungwitz,250000.0
2020/2021,fc-bayern-munchen,Bouna Sarr,4000000.0
2020/2021,fc-bayern-munchen,Josip Stanisic,400000.0
2020/2021,fc-bayern-munchen,Kilian Senkbeil,200000.0
2020/2021,fc-bayern-munchen,Joshua Kimmich,90000000.0
2020/2021,fc-bayern-munchen,Marc Roca,10000000.0
2020/2021,fc-bayern-munchen,Angelo Stiller,2500000.0
2020/2021,fc-bayern-munchen,Maximilian Zaiser,225000.0
2020/2021,fc-bayern-munchen,Leon Goretzka,70000000.0
2020/2021,fc-bayern-munchen,Corentin Tolisso,20000000.0
2020/2021,fc-bayern-munchen,Michaël Cuisance,7000000.0
2020/2021,fc-bayern-munchen,Adrian Fein,4000000.0
2020/2021,fc-bayern-munchen,Tiago Dantas,3000000.0
2020/2021,fc-bayern-munchen,Jamal Musiala,38000000.0
2020/2021,fc-bayern-munchen,Christopher Scott,1200000.0
2020/2021,fc-bayern-munchen,Malik Tillman,500000.0
2020/2021,fc-bayern-munchen,Serge Gnabry,70000000.0
2020/2021,fc-bayern-munchen,Kingsley Coman,65000000.0
2020/2021,fc-bayern-munchen,Leroy Sané,60000000.0
2020/2021,fc-bayern-munchen,Douglas Costa,6000000.0
2020/2021,fc-bayern-munchen,Daniels Ontuzans,150000.0
2020/2021,fc-bayern-munchen,Thomas Müller,30000000.0
2020/2021,fc-bayern-munchen,Leon Dajaku,1800000.0
2020/2021,fc-bayern-munchen,Armindo Sieb,1500000.0
2020/2021,fc-bayern-munchen,Robert Lewandowski,60000000.0
2020/2021,fc-bayern-munchen,Joshua Zirkzee,8000000.0
2020/2021,fc-bayern-munchen,Eric-Maxim Choupo-Moting,3500000.0
2020/2021,fc-bayern-munchen,Fiete Arp,800000.0
2020/2021,fc-bayern-munchen,Dimitri Oberlin,500000.0
2020/2021,borussia-dortmund,Roman Bürki,4000000.0
2020/2021,borussia-dortmund,Marwin Hitz,1700000.0
2020/2021,borussia-dortmund,Luca Unbehaun,1500000.0
2020/2021,borussia-dortmund,Stefan Drljaca,250000.0
2020/2021,borussia-dortmund,Manuel Akanji,30000000.0
2020/2021,borussia-dortmund,Dan-Axel Zagadou,18000000.0
2020/2021,borussia-dortmund,Mats Hummels,12000000.0
2020/2021,borussia-dortmund,Axel Witsel,9000000.0
