index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
0,1886347,28,89,00:01.8,00:07.9,0,1,6.1,1,1,1805,left_to_right,Newcastle,3,False,False,False,create,1,medium_block,9,0.03,-0.36,3,center,2,middle_third,False,-10.7,23.82,1,wide_left,2,middle_third,False,51.72,54.41,41.44,58.03,34.37,32.81,42.01,52.35
1,1886347,89,107,00:07.9,00:09.7,0,7,1.8,1,1,1805,left_to_right,Newcastle,1,True,False,False,direct,6,defending_direct,15,-9.87,23.99,1,wide_left,2,middle_third,False,21.73,16.53,2,half_space_left,3,attacking_third,False,54.72,54.54,58.24,62.34,32.97,34.26,51.98,46.99
2,1886347,185,232,00:17.5,00:22.2,0,17,4.7,1,2,4177,right_to_left,Auckland FC,2,False,False,False,build_up,0,high_block,10,-22.52,-7.98,3,center,1,defensive_third,False,-20.4,17.83,2,half_space_left,1,defensive_third,False,45.3,50.78,48.51,50.31,31.4,36.38,54.72,51.13
3,1886347,232,283,00:22.2,00:27.3,0,22,5.1,1,2,4177,right_to_left,Auckland FC,1,True,False,False,create,1,medium_block,9,-19.24,19.52,2,half_space_left,1,defensive_third,False,29.2,26.16,1,wide_left,3,attacking_third,False,50.81,42.83,50.33,63.89,36.59,38.73,51.22,53.46
4,1886347,283,301,00:27.3,00:29.1,0,27,1.8,1,1,1805,left_to_right,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-29.73,-26.19,5,wide_right,1,defensive_third,False,-36.35,-29.24,5,wide_right,1,defensive_third,False,38.61,36.66,53.59,54.36,42.62,40.13,64.54,71.83
5,1886347,301,351,00:29.1,00:34.1,0,29,5.0,1,2,4177,right_to_left,Auckland FC,2,True,False,False,finish,2,low_block,8,36.14,29.18,1,wide_left,3,attacking_third,False,44.22,24.33,1,wide_left,3,attacking_third,False,40.15,35.56,72.0,74.51,36.51,28.42,54.3,47.66
6,1886347,351,504,00:34.1,00:49.4,0,34,15.3,1,1,1805,left_to_right,Newcastle,3,False,False,False,build_up,0,high_block,10,-44.7,-22.57,5,wide_right,1,defensive_third,False,-42.69,14.89,2,half_space_left,1,defensive_third,False,28.29,58.4,47.46,49.83,35.4,36.36,74.85,68.22
7,1886347,504,526,00:49.4,00:51.6,0,49,2.2,1,1,1805,left_to_right,Newcastle,1,True,False,False,direct,6,defending_direct,15,-41.66,15.57,2,half_space_left,1,defensive_third,False,-3.54,22.0,1,wide_left,2,middle_third,False,58.45,55.54,49.87,52.37,36.23,34.54,68.35,66.86
8,1886347,526,530,00:51.6,00:52.0,0,51,0.4,1,2,4177,right_to_left,Auckland FC,1,False,False,False,create,1,medium_block,9,3.2,-21.8,5,wide_right,2,middle_third,False,4.51,-20.41,5,wide_right,2,middle_third,False,34.5,34.3,66.75,66.28,55.14,53.72,52.42,52.55
9,1886347,530,558,00:52.0,00:54.8,0,52,2.8,1,2,4177,right_to_left,Auckland FC,1,False,False,False,finish,2,low_block,8,5.27,-19.84,4,half_space_right,2,middle_third,False,11.18,-17.74,4,half_space_right,2,middle_third,False,34.22,32.88,66.07,57.8,53.19,41.1,52.58,48.17
10,1886347,558,609,00:54.8,00:59.9,0,54,5.1,1,2,4177,right_to_left,Auckland FC,3,False,False,False,create,1,medium_block,9,11.03,-18.15,4,half_space_right,2,middle_third,False,-13.14,-32.19,5,wide_right,2,middle_third,False,33.14,46.44,57.66,55.17,41.01,38.98,47.88,52.76
11,1886347,736,806,01:12.6,01:19.6,1,12,7.0,1,2,4177,right_to_left,Auckland FC,4,True,False,False,create,1,medium_block,9,-16.07,-33.34,5,wide_right,2,middle_third,False,-23.5,4.04,3,center,1,defensive_third,False,42.51,47.74,47.34,49.43,27.52,29.83,58.85,48.93
12,1886347,974,1025,01:36.4,01:41.5,1,36,5.1,1,1,1805,left_to_right,Newcastle,3,False,False,False,chaotic,5,chaotic,5,33.07,-33.41,5,wide_right,3,attacking_third,False,27.48,-36.5,5,wide_right,3,attacking_third,False,39.69,36.76,64.59,58.76,26.28,32.32,39.33,38.85
